Date,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours,Reason_type1,Reason_type2,Reason_type3,Reason_type4
04/08/2015,289,36,33,205.917,30,1,2,1,8,False,False,False,True
20/08/2015,291,50,32,205.917,23,1,0,0,4,True,False,False,False
21/08/2015,235,29,48,205.917,33,1,1,5,8,False,False,False,True
28/08/2015,260,50,36,205.917,23,1,4,0,4,False,False,False,True
01/09/2015,184,42,27,241.476,21,1,0,0,2,False,False,False,True
07/09/2015,118,10,37,241.476,28,1,0,0,4,False,False,False,True
01/09/2015,179,51,38,241.476,31,1,0,0,4,False,False,False,True
08/09/2015,235,20,43,241.476,38,1,1,0,8,False,False,True,False
09/09/2015,155,12,34,241.476,25,1,2,0,2,False,False,False,True
13/09/2015,118,10,37,241.476,28,1,0,0,3,False,False,False,True
14/09/2015,179,51,38,241.476,31,1,0,0,3,False,False,False,True
24/09/2015,291,31,40,241.476,25,1,1,1,4,False,False,False,True
04/09/2015,260,50,36,241.476,23,1,4,0,8,False,False,False,True
14/09/2015,291,31,40,241.476,25,1,1,1,32,True,False,False,False
21/09/2015,260,50,36,241.476,23,1,4,0,0,False,False,False,False
28/09/2015,225,26,28,241.476,24,1,1,2,0,False,False,False,False
08/09/2015,225,26,28,241.476,24,1,1,2,2,False,False,False,True
15/09/2015,118,10,37,241.476,28,1,0,0,2,False,False,False,True
22/09/2015,289,36,33,241.476,30,1,2,1,0,False,False,False,False
29/09/2015,118,13,50,241.476,31,1,1,0,0,False,False,False,False
16/09/2015,225,26,28,241.476,24,1,1,2,3,False,False,True,False
23/09/2015,179,51,38,241.476,31,1,0,0,3,False,False,False,True
30/09/2015,369,17,31,241.476,25,1,3,0,0,False,False,False,False
11/09/2015,248,25,47,241.476,32,1,2,1,1,False,False,False,True
18/09/2015,179,51,38,241.476,31,1,0,0,3,False,False,False,True
25/09/2015,260,50,36,241.476,23,1,4,0,4,False,False,False,True
06/10/2015,179,51,38,253.465,31,1,0,0,3,False,False,False,True
13/10/2015,118,10,37,253.465,28,1,0,0,3,False,False,False,True
14/10/2015,118,13,50,253.465,31,1,1,0,0,False,False,False,False
15/10/2015,179,26,30,253.465,19,3,0,0,1,False,False,False,True
16/10/2015,179,51,38,253.465,31,1,0,0,3,False,False,False,True
16/10/2015,225,26,28,253.465,24,1,1,2,3,False,False,False,True
06/10/2015,118,10,37,253.465,28,1,0,0,3,False,False,False,True
14/10/2015,225,26,28,253.465,24,1,1,2,2,False,False,False,True
21/10/2015,248,25,47,253.465,32,1,2,1,2,False,False,False,True
22/10/2015,291,31,40,253.465,25,1,1,1,5,False,False,False,True
21/10/2015,179,51,38,253.465,31,1,0,0,8,False,False,False,True
21/10/2015,225,26,28,253.465,24,1,1,2,3,False,False,False,True
22/10/2015,260,50,36,253.465,23,1,4,0,16,False,False,True,False
13/10/2015,291,31,40,253.465,25,1,1,1,8,True,False,False,False
20/10/2015,225,26,28,253.465,24,1,1,2,2,False,False,False,True
21/10/2015,289,36,33,253.465,30,1,2,1,8,False,False,False,True
23/10/2015,361,52,28,253.465,27,1,1,4,1,False,False,False,True
30/10/2015,260,50,36,253.465,23,1,4,0,3,False,False,False,True
05/11/2015,179,51,38,306.345,31,1,0,0,1,False,False,False,True
04/11/2015,225,26,28,306.345,24,1,1,2,1,False,False,False,True
05/11/2015,179,51,38,306.345,31,1,0,0,8,True,False,False,False
12/11/2015,179,22,40,306.345,22,2,2,0,8,False,False,True,False
19/11/2015,291,31,40,306.345,25,1,1,1,5,False,False,False,True
02/11/2015,155,12,34,306.345,25,1,2,0,32,True,False,False,False
09/11/2015,189,29,33,306.345,25,1,2,2,8,False,False,False,True
16/11/2015,291,31,40,306.345,25,1,1,1,40,True,False,False,False
18/11/2015,225,26,28,306.345,24,1,1,2,1,False,False,False,True
20/11/2015,155,12,34,306.345,25,1,2,0,8,True,False,False,False
18/11/2015,225,26,28,306.345,24,1,1,2,3,False,False,False,True
25/11/2015,179,22,40,306.345,22,2,2,0,8,False,False,True,False
20/11/2015,225,26,28,306.345,24,1,1,2,3,True,False,False,False
27/11/2015,260,50,36,306.345,23,1,4,0,4,False,False,False,True
02/11/2015,248,25,47,306.345,32,1,2,1,1,False,False,False,True
10/11/2015,225,26,28,306.345,24,1,1,2,3,False,False,False,True
11/11/2015,289,36,33,306.345,30,1,2,1,24,True,False,False,False
26/11/2015,291,31,40,306.345,25,1,1,1,3,False,False,False,True
01/12/2015,248,25,47,261.306,32,1,2,1,1,False,False,False,True
01/12/2015,118,10,37,261.306,28,1,0,0,64,False,False,True,False
02/12/2015,118,13,50,261.306,31,1,1,0,2,False,False,False,True
02/12/2015,235,11,37,261.306,29,3,1,1,8,False,False,False,True
03/12/2015,225,26,28,261.306,24,1,1,2,2,False,False,False,True
04/12/2015,260,50,36,261.306,23,1,4,0,8,False,False,False,True
08/12/2015,118,10,37,261.306,28,1,0,0,56,False,False,True,False
09/12/2015,361,52,28,261.306,27,1,1,4,8,False,False,False,True
10/12/2015,225,26,28,261.306,24,1,1,2,3,False,False,False,True
11/12/2015,260,50,36,261.306,23,1,4,0,3,False,False,False,True
15/12/2015,225,26,28,261.306,24,1,1,2,2,False,False,False,True
16/12/2015,361,52,28,261.306,27,1,1,4,8,False,False,False,True
11/12/2015,118,10,37,261.306,28,1,0,0,2,False,False,False,True
18/12/2015,246,25,41,261.306,23,1,0,0,8,False,False,True,False
18/12/2015,225,26,28,261.306,24,1,1,2,2,False,False,False,True
06/01/2016,225,26,28,308.593,24,1,1,2,1,False,False,False,True
04/01/2016,118,10,37,308.593,28,1,0,0,1,False,False,True,False
05/01/2016,118,10,37,308.593,28,1,0,0,1,False,False,False,True
05/01/2016,155,12,34,308.593,25,1,2,0,8,False,False,True,False
06/01/2016,225,26,28,308.593,24,1,1,2,2,False,False,False,True
07/01/2016,184,42,27,308.593,21,1,0,0,2,False,False,False,True
07/01/2016,225,26,28,308.593,24,1,1,2,2,False,False,False,True
08/01/2016,225,26,28,308.593,24,1,1,2,1,False,False,False,True
11/01/2016,118,10,37,308.593,28,1,0,0,2,False,False,False,True
12/01/2016,225,26,28,308.593,24,1,1,2,2,False,False,False,True
12/01/2016,118,10,37,308.593,28,1,0,0,2,False,False,False,True
13/01/2016,118,10,37,308.593,28,1,0,0,2,False,False,False,True
14/01/2016,118,10,37,308.593,28,1,0,0,2,False,False,False,True
15/01/2016,118,10,37,308.593,28,1,0,0,2,False,False,False,True
11/01/2016,118,10,37,308.593,28,1,0,0,2,False,False,False,True
12/01/2016,118,10,37,308.593,28,1,0,0,2,False,False,False,True
12/01/2016,179,26,30,308.593,19,3,0,0,8,False,False,True,False
12/01/2016,289,36,33,308.593,30,1,2,1,8,False,False,True,False
13/01/2016,118,10,37,308.593,28,1,0,0,2,False,False,False,True
21/01/2016,184,42,27,308.593,21,1,0,0,2,False,False,False,True
28/01/2016,118,10,37,308.593,28,1,0,0,2,False,False,False,True
25/01/2016,118,10,37,308.593,28,1,0,0,0,False,False,False,True
26/01/2016,225,26,28,308.593,24,1,1,2,1,False,False,False,True
28/01/2016,289,36,33,308.593,30,1,2,1,3,False,False,False,True
05/02/2016,184,42,27,302.585,21,1,0,0,1,False,False,False,True
03/02/2016,246,25,41,302.585,23,1,0,0,8,True,False,False,False
10/02/2016,179,51,38,302.585,31,1,0,0,8,True,False,False,False
11/02/2016,155,12,34,302.585,25,1,2,0,2,False,False,False,True
11/02/2016,189,29,33,302.585,25,1,2,2,8,False,False,False,True
12/02/2016,260,50,36,302.585,23,1,4,0,2,False,False,False,True
12/02/2016,289,36,33,302.585,30,1,2,1,8,False,False,False,True
08/02/2016,388,15,50,302.585,24,1,0,0,8,True,False,False,False
09/02/2016,388,15,50,302.585,24,1,0,0,8,True,False,False,False
15/02/2016,225,26,28,302.585,24,1,1,2,2,False,False,False,True
09/02/2016,225,26,28,302.585,24,1,1,2,2,False,False,False,True
16/02/2016,179,26,30,302.585,19,3,0,0,1,False,False,False,True
23/02/2016,184,42,27,302.585,21,1,0,0,8,False,False,False,True
25/02/2016,225,26,28,302.585,24,1,1,2,3,False,False,False,True
15/02/2016,330,16,28,302.585,25,2,0,0,8,False,False,True,False
16/02/2016,330,16,28,302.585,25,2,0,0,1,False,False,False,True
17/02/2016,225,26,28,302.585,24,1,1,2,1,False,False,False,True
25/02/2016,189,29,33,302.585,25,1,2,2,8,False,False,True,False
01/03/2016,291,50,32,343.253,23,1,0,0,2,False,False,False,True
01/03/2016,260,50,36,343.253,23,1,4,0,8,False,False,True,False
08/03/2016,157,27,29,343.253,22,1,0,0,3,False,False,True,False
15/03/2016,179,22,40,343.253,22,2,2,0,8,False,True,False,False
16/03/2016,291,31,40,343.253,25,1,1,1,8,False,False,False,True
02/03/2016,260,50,36,343.253,23,1,4,0,8,True,False,False,False
03/03/2016,179,26,30,343.253,19,3,0,0,8,True,False,False,False
04/03/2016,248,25,47,343.253,32,1,2,1,3,True,False,False,False
04/03/2016,260,50,36,343.253,23,1,4,0,40,True,False,False,False
07/03/2016,179,22,40,343.253,22,2,2,0,40,True,False,False,False
14/03/2016,155,12,34,343.253,25,1,2,0,16,True,False,False,False
21/03/2016,260,50,36,343.253,23,1,4,0,16,False,False,False,True
22/03/2016,155,12,34,343.253,25,1,2,0,8,True,False,False,False
24/03/2016,289,36,33,343.253,30,1,2,1,8,True,False,False,False
24/03/2016,179,22,40,343.253,22,2,2,0,8,True,False,False,False
25/03/2016,260,50,36,343.253,23,1,4,0,4,False,False,False,True
25/03/2016,225,26,28,343.253,24,1,1,2,1,False,False,False,True
28/03/2016,279,5,39,343.253,24,1,2,0,8,True,False,False,False
29/03/2016,179,51,38,343.253,31,1,0,0,24,True,False,False,False
30/03/2016,225,26,28,343.253,24,1,1,2,2,False,False,False,True
28/03/2016,225,26,28,343.253,24,1,1,2,8,True,False,False,False
28/03/2016,179,26,30,343.253,19,3,0,0,1,True,False,False,False
29/03/2016,225,26,28,343.253,24,1,1,2,8,True,False,False,False
30/03/2016,225,26,28,343.253,24,1,1,2,16,True,False,False,False
30/03/2016,179,51,38,343.253,31,1,0,0,3,True,False,False,False
17/03/2016,279,5,39,343.253,24,1,2,0,16,True,False,False,False
18/03/2016,225,26,28,343.253,24,1,1,2,2,False,False,False,True
25/03/2016,248,25,47,343.253,32,1,2,1,3,True,False,False,False
28/03/2016,225,26,28,343.253,24,1,1,2,1,False,False,False,True
06/04/2016,291,31,40,326.452,25,1,1,1,1,False,False,False,True
13/04/2016,225,26,28,326.452,24,1,1,2,1,False,False,False,True
12/04/2016,155,12,34,326.452,25,1,2,0,1,False,False,False,True
13/04/2016,246,25,41,326.452,23,1,0,0,24,True,False,False,False
14/04/2016,155,12,34,326.452,25,1,2,0,1,False,False,False,True
15/04/2016,225,26,28,326.452,24,1,1,2,2,False,False,False,True
15/04/2016,260,50,36,326.452,23,1,4,0,4,False,False,False,True
06/04/2016,179,51,38,326.452,31,1,0,0,24,True,False,False,False
07/04/2016,118,13,50,326.452,31,1,1,0,1,False,False,False,True
08/04/2016,291,31,40,326.452,25,1,1,1,3,False,False,False,True
08/04/2016,246,25,41,326.452,23,1,0,0,8,True,False,False,False
22/04/2016,291,31,40,326.452,25,1,1,1,1,False,False,False,True
29/04/2016,248,25,47,326.452,32,1,2,1,8,False,False,False,True
29/04/2016,260,50,36,326.452,23,1,4,0,56,False,False,True,False
26/04/2016,289,36,33,326.452,30,1,2,1,8,False,False,True,False
27/04/2016,155,12,34,326.452,25,1,2,0,24,True,False,False,False
27/04/2016,378,49,36,326.452,21,1,2,4,8,False,False,True,False
28/04/2016,289,36,33,326.452,30,1,2,1,16,True,False,False,False
08/04/2016,235,11,37,326.452,29,3,1,1,3,True,False,False,False
04/04/2016,235,29,48,326.452,33,1,1,5,0,False,False,False,False
04/05/2016,289,36,33,378.884,30,1,2,1,8,True,False,False,False
05/05/2016,155,12,34,378.884,25,1,2,0,2,False,False,False,True
02/05/2016,155,12,34,378.884,25,1,2,0,1,False,False,False,True
03/05/2016,179,51,38,378.884,31,1,0,0,8,False,False,True,False
03/05/2016,225,26,28,378.884,24,1,1,2,8,False,False,True,False
11/05/2016,184,42,27,378.884,21,1,0,0,4,True,False,False,False
09/05/2016,155,12,34,378.884,25,1,2,0,2,False,False,False,True
10/05/2016,179,51,38,378.884,31,1,0,0,1,True,False,False,False
04/05/2016,289,36,33,378.884,30,1,2,1,24,True,False,False,False
11/05/2016,279,5,39,378.884,24,1,2,0,0,False,False,False,False
18/05/2016,330,16,28,378.884,25,2,0,0,0,False,False,False,False
25/05/2016,378,49,36,378.884,21,1,2,4,0,False,False,False,False
25/05/2016,388,15,50,378.884,24,1,0,0,0,False,False,False,False
24/05/2016,179,51,38,378.884,31,1,0,0,1,True,False,False,False
11/05/2016,118,13,50,378.884,31,1,1,0,24,True,False,False,False
27/05/2016,361,52,28,378.884,27,1,1,4,8,False,False,False,True
06/06/2016,246,25,41,377.55,23,1,0,0,8,False,False,True,False
13/06/2016,361,52,28,377.55,27,1,1,4,8,False,False,False,True
14/06/2016,246,25,41,377.55,23,1,0,0,24,True,False,False,False
16/06/2016,291,31,40,377.55,25,1,1,1,4,False,False,False,True
17/06/2016,246,25,41,377.55,23,1,0,0,8,True,False,False,False
13/06/2016,179,51,38,377.55,31,1,0,0,8,True,False,False,False
20/06/2016,155,12,34,377.55,25,1,2,0,4,False,False,False,True
27/06/2016,246,25,41,377.55,23,1,0,0,8,True,False,False,False
29/06/2016,118,13,50,377.55,31,1,1,0,8,True,False,False,False
03/06/2016,235,11,37,377.55,29,3,1,1,16,True,False,False,False
07/06/2016,118,13,50,377.55,31,1,1,0,1,False,False,False,True
08/06/2016,118,13,50,377.55,31,1,1,0,80,True,False,False,False
09/06/2016,378,49,36,377.55,21,1,2,4,8,False,False,False,True
10/06/2016,179,51,38,377.55,31,1,0,0,2,True,False,False,False
20/06/2016,289,48,49,377.55,36,1,0,2,2,False,False,False,True
30/06/2016,225,26,28,377.55,24,1,1,2,2,False,False,False,True
05/07/2016,155,12,34,275.312,25,1,2,0,16,False,False,True,False
06/07/2016,118,13,50,275.312,31,1,1,0,8,True,False,False,False
08/07/2016,118,10,37,275.312,28,1,0,0,8,True,False,False,False
08/07/2016,118,10,37,275.312,28,1,0,0,4,False,False,False,True
12/07/2016,330,16,28,275.312,25,2,0,0,8,False,False,False,True
14/07/2016,179,26,30,275.312,19,3,0,0,8,False,False,True,False
15/07/2016,155,12,34,275.312,25,1,2,0,2,False,False,False,True
18/07/2016,330,16,28,275.312,25,2,0,0,8,True,False,False,False
19/07/2016,330,16,28,275.312,25,2,0,0,8,True,False,False,False
18/07/2016,157,27,29,275.312,22,1,0,0,3,False,False,False,True
19/07/2016,361,52,28,275.312,27,1,1,4,8,False,False,False,True
20/07/2016,289,36,33,275.312,30,1,2,1,8,False,False,False,True
21/07/2016,179,51,38,275.312,31,1,0,0,8,False,False,False,True
11/07/2016,289,36,33,275.312,30,1,2,1,32,False,False,True,False
14/07/2016,289,36,33,275.312,30,1,2,1,8,False,False,True,False
21/07/2016,260,50,36,275.312,23,1,4,0,0,False,False,False,False
04/08/2016,289,36,33,265.615,30,1,2,1,8,False,False,True,False
11/08/2016,157,27,29,265.615,22,1,0,0,3,False,False,True,False
07/08/2016,289,36,33,265.615,30,1,2,1,1,False,False,False,True
08/08/2016,228,14,58,265.615,22,1,2,1,8,False,False,True,False
10/08/2016,300,26,43,265.615,25,1,2,1,1,True,False,False,False
10/08/2016,300,26,43,265.615,25,1,2,1,2,True,False,False,False
11/08/2016,260,50,36,265.615,23,1,4,0,4,False,False,False,True
08/08/2016,289,36,33,265.615,30,1,2,1,4,False,False,False,True
09/08/2016,248,25,47,265.615,32,1,2,1,1,False,False,False,True
10/08/2016,268,11,33,265.615,25,2,0,0,8,True,False,False,False
10/08/2016,179,26,30,265.615,19,3,0,0,1,False,False,False,True
10/08/2016,118,13,50,265.615,31,1,1,0,3,True,False,False,False
14/08/2016,248,25,47,265.615,32,1,2,1,2,False,False,False,True
15/08/2016,235,11,37,265.615,29,3,1,1,1,False,False,False,True
17/08/2016,118,13,50,265.615,31,1,1,0,1,False,False,False,True
24/08/2016,235,11,37,265.615,29,3,1,1,8,False,False,True,False
08/08/2016,361,52,28,265.615,27,1,1,4,8,True,False,False,False
30/08/2016,184,42,27,265.615,21,1,0,0,8,True,False,False,False
05/09/2016,179,51,38,294.217,31,1,0,0,8,True,False,False,False
09/09/2016,179,51,38,294.217,31,1,0,0,3,False,False,False,True
07/09/2016,289,36,33,294.217,30,1,2,1,24,False,False,True,False
08/09/2016,235,20,43,294.217,38,1,1,0,0,False,False,False,False
12/09/2016,246,25,41,294.217,23,1,0,0,16,True,False,False,False
13/09/2016,291,31,40,294.217,25,1,1,1,3,False,False,False,True
13/09/2016,231,35,39,294.217,35,1,2,2,0,False,False,False,False
13/09/2016,291,50,32,294.217,23,1,0,0,0,False,False,False,False
14/09/2016,179,51,38,294.217,31,1,0,0,8,True,False,False,False
14/09/2016,246,25,41,294.217,23,1,0,0,32,True,False,False,False
15/09/2016,179,51,38,294.217,31,1,0,0,1,False,False,False,True
16/09/2016,291,31,40,294.217,25,1,1,1,4,False,False,False,True
16/09/2016,260,50,36,294.217,23,1,4,0,4,False,False,False,True
14/09/2016,235,20,43,294.217,38,1,1,0,8,False,False,False,True
15/09/2016,118,13,50,294.217,31,1,1,0,1,False,False,False,True
15/09/2016,235,20,43,294.217,38,1,1,0,0,False,False,False,False
16/09/2016,291,31,40,294.217,25,1,1,1,3,False,False,False,True
26/09/2016,291,31,40,294.217,25,1,1,1,40,True,False,False,False
26/09/2016,179,51,38,294.217,31,1,0,0,8,True,False,False,False
05/10/2016,289,36,33,265.017,30,1,2,1,8,False,False,False,True
05/10/2016,235,11,37,265.017,29,3,1,1,4,False,False,False,True
05/10/2016,289,36,33,265.017,30,1,2,1,8,False,False,False,True
06/10/2016,289,36,33,265.017,30,1,2,1,8,False,False,False,True
06/10/2016,118,13,50,265.017,31,1,1,0,0,False,False,False,False
06/10/2016,248,25,47,265.017,32,1,2,1,0,False,False,False,False
12/10/2016,179,26,30,265.017,19,3,0,0,8,True,False,False,False
12/10/2016,118,10,37,265.017,28,1,0,0,3,True,False,False,False
12/10/2016,369,17,31,265.017,25,1,3,0,8,False,False,False,True
14/10/2016,179,51,38,265.017,31,1,0,0,1,False,False,False,True
14/10/2016,179,26,30,265.017,19,3,0,0,64,True,False,False,False
14/10/2016,235,20,43,265.017,38,1,1,0,0,False,False,False,False
15/10/2016,289,36,33,265.017,30,1,2,1,16,False,False,True,False
16/10/2016,260,50,36,265.017,23,1,4,0,3,False,False,False,True
16/10/2016,235,20,43,265.017,38,1,1,0,0,False,False,False,False
19/10/2016,235,20,43,265.017,38,1,1,0,2,False,False,False,True
19/10/2016,235,20,43,265.017,38,1,1,0,2,False,False,False,True
20/10/2016,118,13,50,265.017,31,1,1,0,1,False,False,False,True
20/10/2016,291,31,40,265.017,25,1,1,1,4,False,False,False,True
22/10/2016,179,26,30,265.017,19,3,0,0,16,False,False,False,True
22/10/2016,118,13,50,265.017,31,1,1,0,1,False,False,False,True
26/10/2016,361,52,28,265.017,27,1,1,4,8,True,False,False,False
27/10/2016,260,50,36,265.017,23,1,4,0,0,False,False,False,False
27/10/2016,291,31,40,265.017,25,1,1,1,0,False,False,False,False
27/10/2016,157,27,29,265.017,22,1,0,0,0,False,False,False,False
28/10/2016,179,26,30,265.017,19,3,0,0,5,True,False,False,False
28/10/2016,179,26,30,265.017,19,3,0,0,5,True,False,False,False
29/10/2016,118,13,50,265.017,31,1,1,0,1,False,False,False,True
07/11/2016,118,10,37,284.031,28,1,0,0,8,True,False,False,False
07/11/2016,248,25,47,284.031,32,1,2,1,2,False,False,False,True
08/11/2016,179,51,38,284.031,31,1,0,0,8,True,False,False,False
11/11/2016,260,50,36,284.031,23,1,4,0,3,False,False,False,True
14/11/2016,291,31,40,284.031,25,1,1,1,1,False,False,False,True
14/11/2016,378,49,36,284.031,21,1,2,4,8,True,False,False,False
14/11/2016,155,12,34,284.031,25,1,2,0,120,True,False,False,False
14/11/2016,235,20,43,284.031,38,1,1,0,8,False,False,False,True
15/11/2016,330,16,28,284.031,25,2,0,0,0,False,False,False,False
16/11/2016,235,11,37,284.031,29,3,1,1,1,False,False,True,False
16/11/2016,118,10,37,284.031,28,1,0,0,3,True,False,False,False
17/11/2016,235,11,37,284.031,29,3,1,1,2,False,False,False,True
17/11/2016,179,51,38,284.031,31,1,0,0,3,False,False,False,True
18/11/2016,246,25,41,284.031,23,1,0,0,8,True,False,False,False
18/11/2016,291,31,40,284.031,25,1,1,1,4,True,False,False,False
21/11/2016,246,25,41,284.031,23,1,0,0,8,True,False,False,False
22/11/2016,179,51,38,284.031,31,1,0,0,1,False,False,False,True
23/11/2016,260,50,36,284.031,23,1,4,0,8,True,False,False,False
25/11/2016,260,50,36,284.031,23,1,4,0,8,False,True,False,False
25/11/2016,378,49,36,284.031,21,1,2,4,0,False,False,False,False
29/11/2016,279,5,39,284.031,24,1,2,0,0,False,False,False,False
24/11/2016,179,51,38,284.031,31,1,0,0,1,False,False,False,True
05/12/2016,225,26,28,236.629,24,1,1,2,3,True,False,False,False
05/12/2016,179,51,38,236.629,31,1,0,0,2,False,False,False,True
05/12/2016,179,51,38,236.629,31,1,0,0,1,False,False,False,True
05/12/2016,235,11,37,236.629,29,3,1,1,3,False,False,False,True
06/12/2016,118,13,50,236.629,31,1,1,0,1,False,False,False,True
09/12/2016,260,50,36,236.629,23,1,4,0,4,False,False,False,True
15/12/2016,246,25,41,236.629,23,1,0,0,8,True,False,False,False
15/12/2016,179,51,38,236.629,31,1,0,0,1,False,False,False,True
16/12/2016,179,51,38,236.629,31,1,0,0,1,False,False,False,True
20/12/2016,179,26,30,236.629,19,3,0,0,1,False,False,False,True
20/12/2016,118,10,37,236.629,28,1,0,0,8,False,False,False,True
22/12/2016,235,11,37,236.629,29,3,1,1,2,False,False,False,True
23/12/2016,179,51,38,236.629,31,1,0,0,1,False,False,False,True
20/12/2016,235,20,43,236.629,38,1,1,0,8,True,False,False,False
20/12/2016,235,11,37,236.629,29,3,1,1,4,True,False,False,False
21/12/2016,260,50,36,236.629,23,1,4,0,8,False,False,False,True
19/12/2016,157,27,29,236.629,22,1,0,0,2,False,False,False,True
19/12/2016,179,51,38,236.629,31,1,0,0,3,False,False,False,True
19/12/2016,289,36,33,236.629,30,1,2,1,8,False,False,True,False
04/01/2017,225,26,28,330.061,24,1,1,2,5,False,False,False,True
09/01/2017,118,10,37,330.061,28,1,0,0,32,False,False,True,False
09/01/2017,155,12,34,330.061,25,1,2,0,2,False,False,False,True
03/01/2017,235,11,37,330.061,29,3,1,1,1,True,False,False,False
03/01/2017,155,12,34,330.061,25,1,2,0,4,False,False,False,True
09/01/2017,289,36,33,330.061,30,1,2,1,8,False,False,False,True
11/01/2017,291,31,40,330.061,25,1,1,1,8,True,False,False,False
16/01/2017,235,20,43,330.061,38,1,1,0,8,False,False,False,True
16/01/2017,118,13,50,330.061,31,1,1,0,4,False,False,False,True
25/01/2017,179,51,38,330.061,31,1,0,0,1,False,False,False,True
27/01/2017,179,51,38,330.061,31,1,0,0,1,False,False,False,True
07/02/2017,118,10,37,251.818,28,1,0,0,2,False,False,False,True
01/02/2017,179,51,38,251.818,31,1,0,0,3,False,False,False,True
01/02/2017,225,26,28,251.818,24,1,1,2,1,True,False,False,False
03/02/2017,289,36,33,251.818,30,1,2,1,3,False,False,False,True
10/02/2017,260,50,36,251.818,23,1,4,0,3,False,False,False,True
17/02/2017,179,51,38,251.818,31,1,0,0,3,False,False,False,True
13/02/2017,179,51,38,251.818,31,1,0,0,2,False,False,False,True
15/02/2017,179,51,38,251.818,31,1,0,0,3,False,False,False,True
16/02/2017,179,51,38,251.818,31,1,0,0,8,True,False,False,False
16/02/2017,246,25,41,251.818,23,1,0,0,8,False,False,False,True
17/02/2017,179,51,38,251.818,31,1,0,0,3,False,False,False,True
13/02/2017,189,29,33,251.818,25,1,2,2,8,False,False,False,True
13/02/2017,179,51,38,251.818,31,1,0,0,3,False,False,False,True
21/02/2017,246,25,41,251.818,23,1,0,0,2,False,False,False,True
21/02/2017,291,31,40,251.818,25,1,1,1,2,False,False,False,True
22/02/2017,157,27,29,251.818,22,1,0,0,16,True,False,False,False
22/02/2017,179,51,38,251.818,31,1,0,0,3,False,False,False,True
24/02/2017,179,51,38,251.818,31,1,0,0,3,False,False,False,True
24/02/2017,246,25,41,251.818,23,1,0,0,24,True,False,False,False
22/02/2017,179,51,38,251.818,31,1,0,0,3,False,False,False,True
24/02/2017,179,51,38,251.818,31,1,0,0,3,False,False,False,True
07/03/2017,118,10,37,244.387,28,1,0,0,8,False,False,True,False
08/03/2017,246,25,41,244.387,23,1,0,0,16,False,False,True,False
10/03/2017,246,25,41,244.387,23,1,0,0,2,False,False,False,True
10/03/2017,260,50,36,244.387,23,1,4,0,4,False,False,False,True
